name,normalizedName,description,eligibilityStatus,category,sourceUrl,source,scrapedAt
"Appearance Improvements","appearance improvements","Appearance improvements are not eligible for reimbursement with a flexible spending account (FSA), health savings account (HSA), health reimbursement arrangement (HRA), limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Not Eligible","","https://hsastore.com/hsa-eligibility-list/a/appearance-improvements","hsastore","2026-06-07T22:11:28.669Z"
"Arch Support","arch support","Arch support reimbursement is eligible with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Arch support reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","Foot Care","https://hsastore.com/hsa-eligibility-list/a/arch-support","hsastore","2026-06-07T22:11:28.669Z"
"Arm Sling","arm sling","Arm sling reimbursement is eligible with a flexible spending account (FSA), health savings account (HSA) and health reimbursement arrangement (HRA). Arm sling reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","Braces And Supports","https://hsastore.com/hsa-eligibility-list/a/arm-sling","hsastore","2026-06-07T22:11:28.669Z"
"Aromatherapy","aromatherapy","Aromatherapy is not eligible for reimbursement with a flexible spending account (FSA), health savings account (HSA), health reimbursement arrangement (HRA), limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Not Eligible","","https://hsastore.com/hsa-eligibility-list/a/aromatherapy","hsastore","2026-06-07T22:11:28.669Z"
"Arthritis Gloves","arthritis gloves","Arthritis glove reimbursement is eligible with a flexible spending account (FSA), health savings account (HSA) and health reimbursement arrangement (HRA). Arthritis glove reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","Arthritis","https://hsastore.com/hsa-eligibility-list/a/arthritis-gloves","hsastore","2026-06-07T22:11:28.669Z"
"Arthritis Medicines","arthritis medicines","Arthritis medicines are eligible for reimbursement with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Arthritis medicines are not eligible for reimbursement with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","Arthritis And Joint Pain","https://hsastore.com/hsa-eligibility-list/a/arthritis-medicines","hsastore","2026-06-07T22:11:28.669Z"
"Artificial Insemination","artificial insemination","Artificial insemination is eligible with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Artificial insemination is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","","https://hsastore.com/hsa-eligibility-list/a/artificial-insemination","hsastore","2026-06-07T22:11:28.669Z"
"Artificial Limbs","artificial limbs","Artificial limb reimbursement is eligible with a flexible spending account (FSA), health savings account (HSA), or a health reimbursement arrangement (HRA). Artificial limb reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","","https://hsastore.com/hsa-eligibility-list/a/artificial-limbs","hsastore","2026-06-07T22:11:28.669Z"
"Artificial Reproduction","artificial reproduction","Artificial reproduction is eligible with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Artificial reproduction is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","","https://hsastore.com/hsa-eligibility-list/a/artificial-reproduction","hsastore","2026-06-07T22:11:28.669Z"
"Artificial Teeth","artificial teeth","Artificial teeth reimbursement is eligible, unless they are for a cosmetic purpose, with a flexible spending account (FSA), health savings account (HSA), health reimbursement arrangement (HRA) or a limited-purpose flexible spending account (LPFSA). Artificial teeth reimbursement is not eligible with a dependent care flexible spending account (DCFSA).","Eligible","","https://hsastore.com/hsa-eligibility-list/a/artificial-teeth","hsastore","2026-06-07T22:11:28.669Z"
